Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Tree Pruning,,Department of Parks and Recreation,136400434,,1000000,DPR,,,,,,,This allocation will support the Department of Parks and Recreation's effort to reduce the citywide tree pruning cycle to under ten years. ,,
Tree Stump Removal,,Department of Parks and Recreation,136400434,,750000,DPR,,,,,,,"This allocation will allow the Department of Parks and Recreation to removal approximately 2,300 more tree stumps in Fiscal 2015.",,
Unemployment/SSI Program ,,Legal Aid Society ,135562265,,500000,DSS/HRA,,,,,,,This funding will also support  unemployed individuals who have been wrongly denied Unemployment Insurance Benefits (UIB).  This funding will support the costs of providing legal representation at hearings before Administrative Law Judges to help disabled individuals and the unemployed receive the Unemployment Insurance Benefits (UIB) and/or the Supplemental Security Income (SSI) benefits they have been wrongly denied.,,
Unemployment/SSI Program ,,Legal Services NYC ,132600199,,500000,DSS/HRA,,,,,,,This funding will also support  unemployed individuals who have been wrongly denied Unemployment Insurance Benefits (UIB).  This funding will support the costs of providing legal representation at hearings before Administrative Law Judges to help disabled individuals and the unemployed receive the Unemployment Insurance Benefits (UIB) and/or the Supplemental Security Income (SSI) benefits they have been wrongly denied.,,
Urban Advantage,,American Museum of Natural History,136162659,,3500000,DOE,,,,,,,"This allocation supports the Urban Advantage Program, which is a unique collaboration of seven science-oriented institutions that provide professional development for middle school science teachers, school and class-based resources and assist middle school students in completing state-mandated exit projects and requirements.  ",,
Veterans Community Development ,,Iraq and Afghanistan Veterans of America (IAVA),201664531,*,50000,DYCD,,,,,,,"Funding for programs in four key impact areas: supporting new veterans in health, education, employment and building a lasting community for vets and their families.",,
Women's Housing and Economic Development Corporation (WHEDCo),,WHEDCo,113099604,,210000,DYCD,,,,,,,"To provide direct services to small-business owners and entrepreneurs through WHEDCO’s Home-based Childcare (HBCC) Microenterprise Program.  Through HBCC, WHEDCO will train 500 low-income, informal childcare providers and help 100 complete the licensing process to launch home-based childcare businesses. HBCC is comprised of the Home-Based Childcare Microenterprise Network, and the Childcare Improvement Project (CIP), their training and professional development initiative for unlicensed Childcare providers to increase their earnings. ",,
Worker Cooperative Business Development Initiative,,Bronx Cooperative Development Initiative (BCDI),452201993,*,60800,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",Federation of Protestant Welfare Agencies (FPWA),13-5562220
Worker Cooperative Business Development Initiative,,Center for Family Life,112777066,,139650,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Worker Cooperative Business Development Initiative,,CUNY Law School,112841751,,35000,CUNY,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Worker Cooperative Business Development Initiative,,Democracy at Work Institute (DAWI),275265123,*,104500,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",Federation of Protestant Welfare Agencies (FPWA),13-5562220
Worker Cooperative Business Development Initiative,,Federation of Protestant Welfare Agencies (FPWA),135562220,,100700,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Worker Cooperative Business Development Initiative,,Green Worker Cooperatives,201828936,,156750,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Worker Cooperative Business Development Initiative,,ICA Group,042628399,*,95000,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",Federation of Protestant Welfare Agencies (FPWA),13-5562220
Worker Cooperative Business Development Initiative,,Make the Road New York,113344389,,66500,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Worker Cooperative Business Development Initiative,,NYC Network of Worker Cooperatives (NYCNOWC),465245034,*,109250,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",Federation of Protestant Welfare Agencies (FPWA),13-5562220
Worker Cooperative Business Development Initiative,,"Working World, The (TWW)",202264584,*,218500,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",Federation of Protestant Welfare Agencies (FPWA),13-5562220
Worker Cooperative Business Development Initiative,,Urban Justice Center,133442022,,55100,DSBS,,,,,,,"Initiative supports the creation of 190 jobs in worker cooperatives businesses by coordinating education and training resources and by providing technical, legal and financial assistance. The initiative will fund a comprehensive citywide effort to reach 800 cooperative entrepreneurs, provide for the start-up of 22 new worker cooperative small businesses and assists another 20 existing cooperatives.",,
Workforce Development-Queens Tech Education,,"Coalition for Queens, Inc.",611652332,,65000,DSBS,,,,,,,This pilot workforce development program will bring tech education courses to CUNY campuses in Queens to train NYC residents in skills that will help them secure jobs in the City's tech sector.,,
YMCA - The Y After School Program,,Young Men's Christian Association of Greater New York,131624228,,350000,DYCD,,,,,,,"YMCA’s Virtual Y program, which is now replaced by The Y After School, is an in school/after-school program primarily serving second, third and fourth graders with a focus on literacy, and educational reinforcement that operates three hours a day, five days a week in some of New York’s high need public elementary schools.",,
Young Adult Institute & Workshop,,Young Adult Institute,112030172,*,50000,DOHMH,,,,,,,"Enhancement of $50,000 in funding for the Young Adults Institute and Workshop.",,
LOCAL,Barron,"Wayside Out-Reach Development, Inc. (WORD)",113528680,*,80000,DFTA,,460 Dumont Avenue,460 Dumont Avenue,Brooklyn,NY,11212,Funds are intended to be used to restore the lunch program at Boulevard Houses Senior Center,,
LOCAL,King,Faith at Work Christian Church ,270127215,*,2500,DYCD,,140 Alcott Place 28L,28L,Bronx,NY,10475,"Funding will support Leaders and Scholars Afterschool Hub (LSAH).  LSAH is a program designed to specifically assist grades K-8 in preparing for and successfully excelling on NYS Standardized Tests and to gain a fuller understanding of the new Common Core requirement.  This program is partially computer-based interactive tutorials and partially hands-on homework assistance.  The requested funding would be used to provide stipends for tutors, maintain technology programs used, provide snacks and underwrite some of the cost of using the computer laboratory of the church.",,
LOCAL,Speaker,Greater Bethel Interdenminational Minitries,510153893,,50000,DYCD,,219-09 Linden Blvd,,Cambria Heights,NY,11411,Funds will be used to purchase a 15 passenger van to transport members of the community to local events.,,
YOUTH,Lancman,"Queens Community House, Inc.",112375583,,47000,DYCD,,108-25 62nd Drive,,Forest Hills,NY,11375,QCH Pomonok After School Program: Extended hours for working parents till 7pm.,,
YOUTH,Lancman,"Queens Community House, Inc.",112375583,,8800,DYCD,,108-25 62nd Drive,,Forest Hills,NY,11375,QCH Pomonok Summer Camp program expansion through additional field trips,,
POVERTY,Rodriguez,"Community League of the Heights, Inc.",132564241,,10000,DYCD,,500 WEST 159 STREET,,NEW YORK,NY,10032,"Funding to support part- and full-time instructor, outcomes-tracking, computer software and lab equipment, and student travel costs for college tours and internships.",,
LOCAL,Kallos,Department of Parks and Recreation,136400434,,15000,DPR,,,,,,,"Funds to support Kids in Motion places one Playground Associate in a park/playground five days per week. The staff lead seven hours of free activities for children per week, including organized sports, games, fitness demos, guided walks, and special events, and have attracted more than 598,525 visits since June 2012. To ensure the cleanliness and safety of the playground, Kids in Motion staff also conduct light maintenance. Locations will include but not be limited to St. Catherines Park. Funds will also support senior fitness activities such as yoga.",,
AGING,Cornegy,"Tompkins Houses Resident Association, Inc.",113095879,,6000,DFTA,,77 Tompkins Ave 1st Floor,,Brooklyn,NY,11206,To provide seniors with snacks on senior night & seniors in the park day.,,
AGING,Cornegy,"Bed-Stuy Campaign Against Hunger, Inc.",200934854,,15000,DFTA,,2010 Fulton Street,,Brooklyn,NY,11233,"To support the Health 360 senior wellness program, which provides total wellness classes for seniors. The classes include light exercise and stretching, gardening and nutrition, recipe demonstrations. The seniors receive fruits and vegetables from the on-site garden. The funding is also used for general support for Bed-Stuy Campaign Against Hunger's general welfare services, and food programming. The funds will pay for staff salaries, equipment purchase and rental, supply purchase and rental, and general operating costs for all services performed in District 36. ",,
YOUTH,Cornegy,"CodyCares for Kids, Inc.",542167738,*,1500,DYCD,,1195 Saint Marks Avenue,,BROOKLYN,NY,11213,To support CodyCares organization & hosting of Teen Hall meetings; & peer leadership training & workshops,,
YOUTH,Cornegy,"Brooklyn Pitbulls Youth Football, Inc.",770611633,*,1000,DYCD,,162 Albany Avenue Ste 2C,,Brooklyn,NY,11213,"To provide transportation, trophies, insurance, and football equipment for the Brooklyn Pitbulls Youth Football program",,
YOUTH,Cornegy,DIVAS for Social Justice,300475160,,2000,DYCD,,131-02 229 Street,,laurelton,NY,11413,"To implement the STEAM (Science Technology Engineering Arts Math) for Social Change program to provide a yearlong onsite training in coding, digital media, robotics and engineering for youth ages 13-17",,
LOCAL,Eugene,"Friends of Brooklyn Community Board 9, Inc.",453110977,*,2000,DYCD,,890 Nostrand Avenue,,Brooklyn,NY,11225,"Funds will be used to fill and maintain the public plaza's proposed 27 planters with beautiful flowers, plants, and trees at the intersection of Ocean and Parkside Avenues in Brooklyn. ",,
LOCAL,Eugene,"Friends of Brooklyn Community Board 9, Inc.",453110977,*,2000,DYCD,,890 Nostrand Avenue,,Brooklyn,NY,11225,"Funds will be used to fill and maintain the public plaza's proposed 27 planters with beautiful flowers, plants, and trees at the intersection of Ocean and Parkside Avenues in Brooklyn. ",,
LOCAL,Eugene,"Workers Defense League, Inc.",132658431,,2000,DYCD,,220 East 23rd Street,Room 707,New York,NY,10010,To support WDL’s program that provides free legal counseling and free representation to applicants for unemployment insurance who have unfairly been denied benefits; representation at unemployment insurance hearings helping New Yorkers and their families avoid falling into poverty while looking for new jobs.,,
LOCAL,Eugene,"Workers Defense League, Inc.",132658431,,3000,DYCD,,220 East 23rd Street,Room 707,New York,NY,10010,To support WDL’s program that provides free legal counseling and free representation to applicants for unemployment insurance who have unfairly been denied benefits; representation at unemployment insurance hearings helping New Yorkers and their families avoid falling into poverty while looking for new jobs.,,
YOUTH,Eugene,"Trail Blazer Camps, Inc.",131771421,*,5000,DYCD,,394 Rogers Avenue,,Brooklyn,NY,11225,"Trail Blazers seeks funding for Futures in Food, a year-round program launched to engage disconnected youth in need of opportunities, that create pathways to self-reliance by broadening their awareness of food and provide them the ability to turn this knowledge, including marketable skills and relevant experience, into gainful employment.  The program highlights organic and sustainable food and green careers.  Expenses include participation incentives, professional workshops and certification fees, professional staff cost, and program materials",,
YOUTH,Eugene,Arthur Ashe Institute for Urban Health,113185372,,5000,DYCD,,450 Clarkson Avenue,Box 1232,Brooklyn,NY,11203,"The Health Science Academy (HAS) addresses the shortage of minorities in the healthcare field.  Annually, HAS program serves over 330 students in grades 6 through 12 with vigorous, evidence-informed, academic STEM enrichment, college-success after-school curriculum that is based on Common Core standards and National Science Education Guidelines.  The program’s college focused environment uniquely promotes personal and professional growth, long-term positive relationships, career exploration and preparation, and engagement in college-level science academic courses.",,
LOCAL,Cabrera,Bronx Community Board # 7,136400434,,5000,BXCB,,5676 Riverdale Avenue,,Bronx,NY,10471-2194,"Funding for office operations and supplies to continue board initiatives, support programs, provide e-newsletters, flyers for public forums and hearings including mailings to inform, educate, outreach and support the community. ",,
AGING,Ferreras,"Queensborough Community College Auxiliary Enterprise Association, Inc.",112037770,,0,DFTA,,222-05 56th Avenue,,Oakland Gardens,NY,11364,To support the Senior Loyalty Program to bridge access to the arts and affordable entertainment options for seniors. Funding will be for the use of the Queens Performing Arts Center (QPAC) to supplement theatre trips and musical programs presented for seniors.,,
YOUTH,Ferreras,"Ecuadorian Civic Committee of New York Inc., The",113553172,,6500,DYCD,,41-12 102 street 2nd Floor,,Corona,NY,11368-2422,"To support afterschool programming in science, art and technology, and to influence dropout prevention. Programming includes skills building in physical computing, website development, as well as indoor gardening and a curriculum  focused on STEM education. Programming includes  visits to museums and colleges.",,
YOUTH,Ferreras,Flushing Council on Culture and the Arts Inc.,112652182,,3500,DYCD,,137-35 Northern Boulevard,,Flushing,NY,11354,To support the “Yellow School Bus Initiative” to supplement free or reduced-price tickets to underserved school children and their chaperones to Flushing Town Hall’s educational performances and exhibitions. ,,
AGING,Mendez,"Educational Alliance, Inc.",135562210,,9500,DFTA,,197 East Broadway,,New York,NY,10002-5507,"Funds will support the health and wellness programming designed to help neighborhood seniors stay healthy or improve their health, and live with increased safety and comfort at home.",,
AGING,Mendez,"Educational Alliance, Inc.",135562210,,750,DFTA,,197 East Broadway,,New York,NY,10002-5507,"Funds will support the health and wellness programming designed to help neighborhood seniors stay healthy or improve their health, and live with increased safety and comfort at home.",,
AGING,Mendez,"Grand Street Settlement, Inc.",135562230,,750,DFTA,,80 Pitt Street,,New York,NY,10002,"Funding to provide activities and services that meet the psychosocial, health, and financial needs of community seniors at the Grand Coalition of Seniors(GCS) Senior Center.",,
AGING,Mendez,Henry Street Settlement,131562242,,750,DFTA,,265 Henry Street,,New York,NY,10002-4808,"Funding to provide nutritional information to enhance the health of seniors, and offer affordable hot lunches Sunday through Friday, and dinners Monday through Friday.  ",,
AGING,Mendez,"Older Adults Technology Services (OATS), Inc.",550882599,,2000,DFTA,,168 7th Street,Suite 3A,Brooklyn,NY,11215,Funding to provide free technology classes,,
AGING,Mendez,Phipps Community Development Corporation,132707665,,750,DFTA,,902 Broadway,13th Floor,New York,NY,,"Funding to support Case managent, healthcare management and assistance, Meals-on-wheels, shopping assistance and friendly visiting.",,
AGING,Mendez,"Self Reliance Association of American Ukrainians, Inc.",135629116,,750,DFTA,,98 Second Avenue,,New York,NY,10003,"Funding to support weekly rec. services / exercise classes, outreach to homebound elderly and food basket. ",,
AGING,Mendez,"United Jewish Council of the East Side, Inc.",132735378,,750,DFTA,,235 East Broadway,,New York,NY,10002,Funding to provide meals and health promotion.,,
AGING,Mendez,"Visiting Neighbors, Inc.",237379098,,2750,DFTA,,3 Washington Square Village 1F,,New York,NY,10012-1801,"Funding to support  staff salaries, outreach to seniors and volunteers, telephone, local travel, printing/copying and insurance.",,
AGING,Mendez,"Vocal Ease, Inc.",371469320,,750,DFTA,,240 West 73rd Street Suite 1403,,New York,NY,10023-2798,"Funding to provide on-site cabaret-style performances for senior citizens at hospitals, nursing homes, senior centers.",,
YOUTH,Gentile,Ridge Chorale Inc,116264993,,1000,DYCD,,80 80th Street,,Brooklyn,NY,11209,Funds will support the making of theatrical productions involving youth and other members of the community and support the costs associated with these productions.,,
YOUTH,Gentile,"New York Junior Tennis League, Inc.",237442256,,1500,DYCD,,58-12 Queens Boulevard,Suite 1,Woodside,NY,11377,To support free recreational tennis and educational programs for beginner and intermediate players.,,
YOUTH,Gentile,Narrows Community Theater,510167270,,1000,DYCD,,9728 3rd Avenue 527,,Brooklyn,NY,11209,"Funds will pay for costumes, props, sound, and other program and production costs to support the production of a play and the holding of workshops involving youth.",,
YOUTH,Cumbo,"Center for NuLeadership on Urban Solutions, Inc.",454968344,*,1000,DYCD,,510 gates Ave 1st fl,,Brooklyn,NY,11216,"Funds will support services that provide civic restoration 1 and 2 which consists of fingerprinting to obtain official copies of rap sheets, rap sheet review and/or repair and assistance with completing a submitting certificates of rehabilitation. ",,
YOUTH,Cumbo,"Stand Up Brooklyn, Inc.",900650329,*,5000,DYCD,,68 Jay Street Suite S-10,,Brooklyn,NY,11201-3135,"After school program Summer program Parent engagement workshops Arts  Cultural outings/events
Please see attachments for a full description of these activities",,
YOUTH,Cumbo," 500 Men Making a Difference, Inc.",452568264,,1500,DYCD,,386 Monroe St,,Brooklyn,NY,11221,Funds will be used to hire a full time Manager and a part time coordinator to manage the over 800 person data base of men.,,
YOUTH,Cumbo,"Ifetayo Cultural Arts Academy, Inc.",113027538,,1500,DYCD,,629 East 35th Street,2,Brooklyn,NY,11203-5503,Funds to support activities related to the Rites of Passage Program.,,
YOUTH,Cumbo,First Baptist Church of Crown Heights,112033058,*,1000,DYCD,,450 Eastern Parkway,,Brooklyn,NY,11225,Funds will provide on-going outreach services for the youth of the community. ,,
YOUTH,Cumbo,"Girls for Gender Equity, Inc.",043697166,,1000,DYCD,,30 Third Avenue - Suite 104,,Brooklyn,NY,11217,"Funding  to support the Urban Leaders Academy (ULA), a comprehensive after-school enrichment program. ",,
Communities of Color Nonprofit Stabilization Fund,,Hispanic Federation,133573852,,166667,DYCD,,,,,,,"Funds will support capacity building, strengthening and rescuing of nonprofit human service providers that serve communities of color by offering capacity building grants to over 140 qualifying organizations for the following needs:  financial management, board development, fund development, nonprofit management & leadership training, information technology, facilitated collaborations and merger planning, and outcomes training.",,
Communities of Color Nonprofit Stabilization Fund,,New York Urban League,131671035,,166666,DYCD,,,,,,,"Funds will support capacity building, strengthening and rescuing of nonprofit human service providers that serve communities of color by offering capacity building grants to over 140 qualifying organizations for the following needs:  financial management, board development, fund development, nonprofit management & leadership training, information technology, facilitated collaborations and merger planning, and outcomes training.",,
YOUTH,Menchaca,"Young Dancers in Repertory, Inc.",112799128,,"$5,000 ",DYCD,,6424 18th Avenue2nd Floor,,Brooklyn,NY,11204,Funding to expand dance studies programming for youth,,
LOCAL,Richards,"ATLED, Inc.",133550709,*,"$3,500 ",DYCD,Lucille Rose Day Care Center,148 Beach 59th street,,Arverne,NY,11692,"to support program expesnses, to include purchase of new window shades, and other needed supplies.",,
LOCAL,Richards,"Birch Family Services, Inc.",112503193,,"$3,500 ",DYCD,,104 West 29th Street,Floor 3,New York,NY,10001,"Supplemental classroom materials including library books, sensory materials, technology devices and software, and specialized leisure materials.",,
LOCAL,Richards,First Faith Baptist Church,022916843,,"$3,500 ",DYCD,,114-02 208th Street,,Cambria Heights,NY,11411,"Funds will be used for SAT Preparation, trips to New York Colleges and Historical Black Colleges to introduce student to the college life.",,
LOCAL,Richards,"Varied Internship Program, Inc.",113137728,*,"$3,500 ",DYCD,,90-25 161st Street,2nd Floor,Jamaica,NY,11432,"50 youth in paid internship; specialized consultants, staffing, insurance, transportation, and clultural and educational trips.",,
AGING,Ferreras,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",132738818,,5000,DFTA,,120 Broadway 7th floor,,New York City,NY,10271,"To support Crisis Intervention Services that engage clients through a thorough needs assessment, intervention and a path toward self- sufficiency programming. ",,
AGING,Mealy,"Wayside Out-Reach Development, Inc. (WORD)",113528680,*,6500,DFTA,VanDyke Houses Senior Center,460 Dumont Avenue,1630 St Marks Avenue,Brooklyn,NY,11212,"Funding to defray costs associated with the programming/services offered at Van Dyke Houses Senior Center, including but not limited to meals (congregate & homebound), transportation & educational/social/recreational activities.",,
AGING,Dromm,"Neighborhood Housing Services of Northern Queens, Inc.",133098397,,5000,DFTA,,,,,,,To fund informational programming about home ownership and senior citizens assistance programs. ,,
AGING,Dromm,"Queens Jewish Community Council, Inc.",237172152,,6000,DFTA,,119-45 Union Turnpike,,Forest Hills,NY,11375-6144,"To support senior and immigrant services that include meals-on-wheels, senior programming and immigrant services such as legal, entitlement, translation and interpretation services.",,
YOUTH,Richards,"Battalion Pentecostal Assembly, Inc.",364391337,*,5000,DYCD,,454 Beach 67 Street,,Arverne,NY,11692,"BPA has three youth programs: 1. Daughters of Purpose 2. Gideon's Army 3. Youth Ignition. These programs prepares youths for adulthood, they are taught life skills and  receive training to effectively function in society. These programs teach youths to identify their strengths and weaknesses and to develop weak areas to become strong.",,
POVERTY,Richards,"Child Center of New York, Inc., The",111733454,,10000,DYCD,,60-02 Queens Boulevard,Lower Level,Woodside,NY,11377-4973,Funds to sustain our Mental Health services at Harlem Dowling Westside- Far Rockaway. Funds to assist our Beacon By the Sea (including tutoring) at PS/MS 43. Funds to support our MS ExTRA 289 Afterschool program. Funds to uphold our Beacon program at PS 42.,,
Adolescent Portable Therapy Program,,"Center for Alternative Sentencing and Employment Services (CASES), Inc.",132668080,,250000,DOP,,,,,,,This allocation will be used to provide substance abuse and mental health treatment to youth at risk for probation violation using the Adolescent Portable Therapy treatment program (APT).,,
A Greener NYC,,"North Shore Waterfront Conservancy Of Staten Island, Inc.",550839630,*,50000,DYCD,,,,,,,"An initiative to support environmentally friendly focused programs that encourage education, advocacy, community service, and green-job training, contributing to the improvement and conservation of NYC's air, water, land, energy, open spaces, and other vital resources.",,
Hepatitis B/C ,,"BOOM!Health (d.b.a CitiWide Harm Reduction Program, Inc.)",134009817,,"$53,880",DOHMH,,,,,,,This initiative will fund the training of local health providers to test for Hepatitis B and C; to fund outreach and screening by DOHMH and local CBOs to encourage testing for Hepatitis; and to support linkages to culturally competent care for those diagnosed with Hepatitis B or C. Hepatitis B & C are potentially fatal diseases widespread in NYC that are usually asymptomatic until a person is suddenly diagnosed with advanced liver cancer.,,
Hepatitis B/C ,,Public Health Solutions,135669201,*,16000,DOHMH,,,,,,,This initiative will fund the training of local health providers to test for Hepatitis B and C; to fund outreach and screening by DOHMH and local CBOs to encourage testing for Hepatitis; and to support linkages to culturally competent care for those diagnosed with Hepatitis B or C. Hepatitis B & C are potentially fatal diseases widespread in NYC that are usually asymptomatic until a person is suddenly diagnosed with advanced liver cancer.,,
Hepatitis B/C ,,Fund for Public Health,050539199,*,54060,DOHMH,,,,,,,This initiative will fund the training of local health providers to test for Hepatitis B and C; to fund outreach and screening by DOHMH and local CBOs to encourage testing for Hepatitis; and to support linkages to culturally competent care for those diagnosed with Hepatitis B or C. Hepatitis B & C are potentially fatal diseases widespread in NYC that are usually asymptomatic until a person is suddenly diagnosed with advanced liver cancer.,,
Small Business/Job Development/Financial Literacy,,Department of Small Business Services,136400434,,64500,DSBS,,,,,,,"This initiative provides technical and financial assistance, business counseling and financial literacy education to entrepreneurs and small businesses.",,
Anti-Gun Violence Initiative - Community-Based Programs,,"Safe Space, Inc. ",111711014,,250000,DOHMH,,,,,,,"This allocation funds the Cure Violence program in the 101st precinct as part of the Crisis Management System, which takes a public health approarch towards gun violence prevention. This model provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts. ",,
Anti-Gun Violence Initiative - Community-Based Programs,,"Good Shepherd Services, Inc",135598710,,250000,DOHMH,,,,,,,"The Cure Violence model takes a public health approarch towards gun violence prevention. These models provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts.  ",,
Anti-Gun Violence Initiative - Community-Based Programs,,"East River Development Alliance, Inc. (Urban Upbound)",861096987,,250000,DOHMH,,,,,,,"This allocation funds the Cure Violence program in the 114th precinct as part of the Crisis Management System, which takes a public health approarch towards gun violence prevention. This model provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts. ",,
Anti-Gun Violence Initiative - Community-Based Programs,,"CAMBA, Inc. ",112480339,,250000,DOHMH,,,,,,,"This allocation funds the Cure Violence program in the 73rd precinct as part of the Crisis Management System, which takes a public health approarch towards gun violence prevention. This model provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts. ",,
Anti-Gun Violence Initiative - Community-Based Programs,,"Gangstas Making Astronomical Community Changes, Inc.",453359451,*,250000,DOHMH,,,,,,,"This allocation funds the Cure Violence program in the 67th precinct as part of the Crisis Management System, which takes a public health approarch towards gun violence prevention. This model provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts. ",,
Anti-Gun Violence Initiative - Community-Based Programs,,"Urban Youth Alliance International, Inc. (BronxConnect)",132969182,,250000,DOHMH,,,,,,,"This allocation funds the Cure Violence program in the 44th precinct as part of the Crisis Management System, which takes a public health approarch towards gun violence prevention. This model provide outreach and conflict mediation directed towards individuals at high risk for future gun violence, as well as broader community mobilization and education efforts. ",,
Anti-Gun Violence Initiative - Mental Health/Therapeutic Services,,"Forestdale, Inc. ",111631747,,35000,DOHMH,,,,,,,"Funding supports mental health and therapeutic services as part of the Crisis Management System in the 101st precinct to assist individuals that have been affected by incidents of gun violence (perpetrators, victims, and family members) or who are at high risk for being involved in gun violence in the future. Funding will support an MSW as well as therapeutic community and school based activities, and training and stipends for non-professional support and counseling.",,
Anti-Gun Violence Initiative - Mental Health/Therapeutic Services,,"Urban Youth Alliance International, Inc. ",132969182,,35000,DOHMH,,,,,,,"Funding supports mental health and therapeutic services as part of the Crisis Management System in the 46th precinct to assist individuals that have been affected by incidents of gun violence (perpetrators, victims, and family members) or who are at high risk for being involved in gun violence in the future. Funding will support an MSW as well as therapeutic community and school based activities, and training and stipends for non-professional support and counseling.",,
Anti-Gun Violence Initiative - Mental Health/Therapeutic Services,,"Floating Hospital Inc., The",131624169,,35000,DOHMH,,,,,,,"Funding supports mental health and therapeutic services as part of the Crisis Management System in the 114th precinct to assist individuals that have been affected by incidents of gun violence (perpetrators, victims, and family members) or who are at high risk for being involved in gun violence in the future. Funding will support an MSW as well as therapeutic community and school based activities, and training and stipends for non-professional support and counseling.",,
Anti-Gun Violence Initiative - Mental Health/Therapeutic Services,,"Union Settlement Association, Inc.",131632530,,35000,DOHMH,,,,,,,"Funding supports mental health and therapeutic services as part of the Crisis Management System in the 23rd precinct to assist individuals that have been affected by incidents of gun violence (perpetrators, victims, and family members) or who are at high risk for being involved in gun violence in the future. Funding will support an MSW as well as therapeutic community and school based activities, and training and stipends for non-professional support and counseling.",,
Anti-Gun Violence Initiative - Mental Health/Therapeutic Services,,"Urban Neighborhood Services, Inc.",141997299,,35000,DOHMH,,,,,,,"Funding supports mental health and therapeutic services as part of the Crisis Management System in the 60th precinct to assist individuals that have been affected by incidents of gun violence (perpetrators, victims, and family members) or who are at high risk for being involved in gun violence in the future. Funding will support an MSW as well as therapeutic community and school based activities, and training and stipends for non-professional support and counseling.",,
"Senior Centers, Programs, and Service Enhancements",,Department for the Aging,136400434,,73000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,"Stein Senior Center, Inc.",237378342,*,27000,DFTA,,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
"Senior Centers, Programs, and Service Enhancements",,Citizens Care Committee,136179568,,40000,DFTA,Harlem Teams Senior Center,,,,,,This action enhances baselined funding to save senior centers slated for closure or have insufficient funding in Fiscal 2015.,,
