Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Discretionary Child Care ,Barron,"Colony- South Brooklyn Houses, Inc.",112197984,,"$1,165,021",ACS,Pine Street DCC,,,,,,,,
Discretionary Child Care ,Barron,"Colony- South Brooklyn Houses, Inc.",112197984,,"$625,279",ACS,Sylvia Klein CCC,,,,,,,,
Discretionary Child Care ,González,"Colony- South Brooklyn Houses, Inc.",112197984,,"$801,707",ACS,Bay Ridge CCC,,,,,,,,
Discretionary Child Care ,González,"Colony- South Brooklyn Houses, Inc.",112197984,,"$710,008",ACS,Georgia L. McMurray BAT Kids Center,,,,,,,,
Discretionary Child Care ,Quinn,Hudson Guild Inc.,135562989,,"$454,468",ACS,Hudson Guild ,,,,,,,,
Discretionary Child Care ,Van Bramer,"Police Athletic League, Inc.",135596811,,"$637,432",ACS,PAL Western Queens,,,,,,,,
Discretionary Child Care ,CD28,Quick Start DCC,112219525,,"$705,353",ACS,Quick Start DCC Center #2,,,,,,,,
Discretionary Child Care ,Foster,South Bronx  Inc.,132661989,,"$1,274,400",ACS,South Bronx Head Start III,,,,,,,,
Discretionary Child Care ,Oddo,Staten Island Mental Health,135623279,,"$777,621",ACS,Staten Island Head Start ,,,,,,,,
Local,Gentile,NIA Community Services Network,112697931,,"$5,000",DYCD,,,,,,,"For use in the support of NIA's youth activities, including the office administration of their many youth programs.",,
Local,Gentile,"Council on the Environment of New York City, Inc. D/B/A GrowNYC",132765465,,"$5,000",DYCD,,,,,,,Funding will be used for GrowNYC's Greenmarket program.,,
Local,CC,Make the Road New York,113344389,,"$75,000 ",DYCD,,,,,,,,,
Local,Vann,"Magnolia Tree Earth Center of Bedford Stuyvesant, Inc.",237303098,,"$10,000",DYCD,,677 Lafayette Avenue,,Brooklyn,NY,11216-1009,"To provide for tree care, community education, stipends for participants,  supplies, and staffing for the neighborhood tree program.",,
Youth,Weprin,"Queens Council on the Arts, Inc.",112219193,,"$2,500",DYCD,,One Forest Park at Oak Ridge,,New York,NY,11421,"To provide support for Queens-based individual artists and organizations.  Also, to provide business education seminars and workshops. ",,
Aging,Ignizio,Council of Jewish Organizations of Staten Island,133525474,,"$3,500",DFTA,,,,,,,,,
Aging,Gentile,Brooklyn Chinese American Association,113065859,,"$4,500",DFTA,,,,,,,"The requested funds will go towards recreational and educational activities, monthly social events, and facility rental and insurance costs at BCA's Senior Citizens Center.",,
Youth,Cabrera,"PowerPlay NYC, Inc.",134045021,,"$5,000",DYCD,,42 Broadway 20th floor,,New York,NY,10004,"To support PowerPlays' STARS after school programs for girls in underserved communities. Funding will provide for sport skill training, mentoring, teaching teamwork, health, wellness, life skills learning activities and provide a safe environment for discussion and expression.",,
Injection Drug Users Health Alliance (IDUHA Initiative),,Harlem United Community AIDS Center,133461695,,$444,DOHMH,,306 Lenox Avenue,,New York,NY,10027,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,"Housing Works, Inc.",133584089,,$723,DOHMH,,57 Willoughby Street,,Brooklyn,NY,11201,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,"New York Harm Reduction Educators, Inc.",133678499,,"$16,280",DOHMH,,953 Southern Boulevard,,Bronx,NY,10459,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,Positive Health Project,133845305,,"$11,719",DOHMH,,301 West 37th Street,,New York,NY,10018,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,St. Ann's Corner of Harm Reduction,133724008,,"$15,840",DOHMH,,310 Walton Avenue,,Bronx,NY,10451,,,
Infant Mortality Reduction,,Sunset Park Health Council dba Lutheran Family Health Centers,202508411,,"$22,320",DOHMH,,,,,,,,,
Geriatric Mental Health Initiative,,"Riverstone Senior Life Services, Inc.",133355074,,"$79,000",DOHMH,,1727 Amsterdam Avenue,,New York,NY,10031,,,
Discretionary Child Care ,NA,Administration for Children Services,136400434,,"$386,022",ACS,NA ,NA ,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
DYCD Food Pantries,Bronx,"Ark of Safety Fellowship Church, Inc.",134088427,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,"Battalion Pentecostal Assembly, Inc.",113548121,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,Bohemian Brethren Presbyterian Church a.k.a. Jan Hus Presbyterian Church,131635255,,"$13,333",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,"Catholic Charities Community Services, Archdiocese of New York",135562185,,"$8,889",DYCD,,,,,,,,,
DYCD Food Pantries,Citywide,City Harvest,133170676,,"$6,250",DYCD,Administrative Fee,,,,,,,,
DYCD Food Pantries,Manhattan,City Harvest,133170676,,"$6,000",DYCD,"Broadway Community, Inc.",,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,Brooks Memorial United Methodist Church,,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,Community Bible Evangelical Free Church,,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,First Baptist Church,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$5,625",DYCD,Hanson Place Seventh Day Adventist Church  ,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$5,625",DYCD,Holy Cross Church,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$5,625",DYCD,Holy Innocents Church,,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,Macedonia Child Development Center,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$10,250",DYCD,"Miller Avenue Block Association, Inc.",,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,Mount Horeb Baptist Church,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$5,625",DYCD,National Committee for the Furtherance of Jewish Education ,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$6,000",DYCD,Newman Memorial United Methodist Church,,,,,,,,
DYCD Food Pantries,Staten Island,City Harvest,133170676,,"$5,000",DYCD,Our Lady of Good Counsel Parish,,,,,,,,
DYCD Food Pantries,Manhattan,City Harvest,133170676,,"$6,000",DYCD,Our Lady of Lourdes,,,,,,,,
DYCD Food Pantries,Bronx,City Harvest,133170676,,"$15,000",DYCD,Part of the Solution,,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,"Queens Jewish Community Council, Inc.",,,,,,,,
DYCD Food Pantries,Queens,City Harvest,133170676,,"$5,000",DYCD,St. Albans Baptist Church,,,,,,,,
DYCD Food Pantries,Brooklyn,City Harvest,133170676,,"$5,250",DYCD,"St. Stephen Outreach, Inc. ",,,,,,,,
DYCD Food Pantries,Manhattan,City Harvest,133170676,,"$5,000",DYCD,The Children's Aid Society,,,,,,,,
DYCD Food Pantries,Bronx,City Harvest,133170676,,"$5,000",DYCD,"World of Life International, Inc.",,,,,,,,
DYCD Food Pantries,Manhattan,City Harvest,133170676,,"$8,333",DYCD,"Yorkville Common Pantry, Inc.",,,,,,,,
DYCD Food Pantries,Bronx,Coalition for the Homeless,133072967,,"$100,000",DYCD,Mobile Bronx Food Program,,,,,,,,
DYCD Food Pantries,Manhattan,Convent Avenue Baptist Church,132780116,,"$5,778",DYCD,,,,,,,,,
DYCD Food Pantries,Staten Island,"Council of Jewish Organizations of Staten Island, Inc.",133525474,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,Evangelical Lutheran Church of the Advent,131635264,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,"First Baptist Church of Corona NY, Inc.",311767167,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Flushing Jewish Community Council,112669559,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,G.R.A.C.E International Bed Stuy Campaign Against Hunger,200934854,,"$11,250",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Greenpoint Reformed Church,112100335,,"$6,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,Heavenly Vision Christian Center,133706003,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Hour Children,133647412,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Jewish Center of Jackson Heights,111681124,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,"Jewish Community Council of Pelham Parkway, Inc.",133099520,,"$10,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,"Love Gospel Assembly - Promise Land Community, Inc.",133062521,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Mary Queen of Heaven,111952301,,"$5,625",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Masbia,201923521,,"$22,375",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Masbia,201923521,,"$5,625",DYCD,Borough Park,,,,,,,,
DYCD Food Pantries,Queens,Masbia,201923521,,"$5,000",DYCD,Rego Park,,,,,,,,
DYCD Food Pantries,Queens,"MCCNY Charities, Inc.",275282132,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,"Momentum Project, Inc., The",133556768,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Most Holy Trinity Church,133171439,,"$11,250",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,Muslim Women's Institute for Research and Development (MWIRD),800010627,,"$10,000",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,New York City Rescue Mission,135596794,,"$8,889",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Our Lady of Grace,111639827,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,Our Lady of Sorrows,133743218,,"$8,888",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,"Park Slope Christian Help, Inc. ",112449994,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Reaching-Out Community Services Inc.                 ,113615625,,"$13,500",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,"Ridgewood Older Adult Center and Services, Inc.",050607283,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,River Watch (1600 Sedgwick Avenue Tenant Association),133995178,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Rugby Family Services,113223904,,"$6,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Salt and Sea Mission                                                       ,113012147,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,"Samaritan Outreach Ministries, Inc. ",113283859,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,SCO Family of Services/Center for Family Life,112777066,,"$6,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Solid Rock Baptist Church,112999373,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,Southside Community Mission,112306447,,"$2,750",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,St. Edmunds Episcopal Church,134136007,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,St. Luke's Senior Community Program,132747442,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,St. Margaret Mary Roman Catholic Church,111990941,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Bronx,St. Margaret's Episcopal Church,131773642,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,St. Mark Church Sheepshead Bay Food Pantry,112202247,,"$11,250",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,R.C. Church of St. Patrick in Fort Hamilton,111631818,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,St. Rita’s Roman Catholic Church,,*,"$11,250",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,St. Theresas,,*,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Manhattan,Stratford Arms Meal Program,900140023,,"$3,890",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,The Church of God in Christ Jesus of the Apostles,113071928,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,The River Fund NY,113450363,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,"Tomche Shabbos of Boro Park and Flatbush, Inc.",113518348,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Staten Island,"Tomchei Shabbos of Staten Island, Inc.",223901876,,"$5,000",DYCD,,,,,,,,,
DYCD Food Pantries,Brooklyn,United Jewish Organizations of Williamsburg,112728233,,"$2,500",DYCD,,,,,,,,,
DYCD Food Pantries,Queens,Voices of Hagar (St. Marks AME),112438038,,"$5,000",DYCD,,,,,,,,,
Immigrant Opportunities Initiative ,Bronx,"BronxWorks, Inc.",133254484,,"$50,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,"Committee for Hispanic Children and Families, Inc., The",112622003,,"$30,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,Emerald Isle Immigration Center,112932528,,"$53,333",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,Legal Services NYC - Bronx,132600199,,"$100,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,MFY Legal,132622748,,"$39,500",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,"Sanctuary for Families, Inc.",133193119,,"$61,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,Urban Justice Center,133442022,,"$39,500",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,"West Bronx Housing and Neighborhood Resource Center, Inc.",132941841,,"$25,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Bronx,Youth Ministries For Peace and Justice,134006535,,"$60,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,Boro Park Jewish Community Council,113475993,,"$35,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Brooklyn Chinese-American Association, Inc.",113065859,,"$25,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,Brooklyn Defender Services,113305406,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,CAMBA - (Church Avenue Merchants Block Association),112480339,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Caribbean Women's Health Association, Inc.",133323168,,"$25,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Catholic Migration Services, Inc.",112634818,,"$55,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,Central American Legal Assistance,112859151,,"$5,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Council of Jewish Organizations of Flatbush, Inc. ",112864728,,"$60,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,Emerald Isle Immigration Center,112932528,,"$53,333",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,To Be Allocated,,,$0,DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,Bedford-Stuyvesant Community Legal Services Corporation,112149962,,$0,DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,South Brooklyn Legal Services,132605605,,$0,DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,New York Legal Assistance Group,133505428,,"$5,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Polish and Slavic Center, Inc.",112285970,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Safe Horizon, Inc.",132946970,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Sanctuary for Families, Inc.",133193119,,"$12,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"SBH Community Service Network, Inc. (Sephardic Bikur Chomlim)",237406410,,"$25,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Southside Community Mission, Inc.",112306447,,"$65,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Brooklyn,United Jewish Organizations (UJO) of Williamsburg,112728233,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Citywide,Legal Aid Society,135562265,,"$585,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Citywide,New York Legal Assistance Group,133505428,,"$390,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,African Services Committee,133749744,,"$26,168",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,Asian Americans for Equality,133187792,,"$31,274",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"Committee for Hispanic Children and Families, Inc., The",112622003,,"$27,237",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"Comprehensive Development, Inc.",133861648,,"$23,200",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"HIV Law Project, Inc., The",133730564,,"$38,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"Housing Conservation Coordinators, Inc.",510141489,,"$38,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,Legal Services NYC - Manhattan,132600199,,"$51,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"MFY Legal Services, Inc.",132622748,,"$86,075",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"MinKwon Center for Community Action, Inc.",112710506,,"$33,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"Neighborhood Defender Service, Inc.",061296692,,"$42,037",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,Northern Manhattan Coalition for Immigrant Rights,133255591,,"$30,205",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,Northern Manhattan Improvement Corporation,132972415,,"$38,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,"Sanctuary for Families, Inc.",133193119,,"$28,119",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Manhattan,Urban Justice Center,133442022,,"$35,018",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Asian Americans for Equality,133187792,,"$17,750",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,"Association of the Bar of the City of New York Fund, Inc. - City Bar Justice Center",136003018,,"$45,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Central American Legal Assistance,112859151,,"$78,861",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,CUNY CLRN,136400434,,"$39,973",CUNY,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Desis Rising Up and Moving (DRUM),383652741,,"$10,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Emerald Isle Immigration Center,112932528,,"$71,084",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,"Haitian Americans United for Progress, Inc.",112423857,,"$40,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,"Hellenic American Neighborhood Action Committee, Inc. (HANAC)",112290832,,"$100,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Legal Services NYC - Queens Legal Services Corporation,132605604,,$0,DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Queens Community House,112375583,,"$20,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,"Sanctuary for Families, Inc.",133193119,,"$99,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,"South Queens Boys and Girls Club, Inc.",111966067,,"$45,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Staten Island,Legal Services NYC - Staten Island Legal Services,132600199,,"$92,000",DYCD,,,,,,,Legal Services,,
Immigrant Opportunities Initiative ,Queens,Asian Americans for Equality,133187792,,"$21,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Queens,Adhikaar,203384725,,"$9,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Queens,Ecuadorian International Center,010627174,,"$20,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Queens,Flushing Jewish Community Council ,112669559,,"$9,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Queens,Make the Road New York,113344389,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,"Committee for Hispanic Children and Families, Inc., The",112622003,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,"Gambian Society in New York, Inc.",133904936,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,"Kingsbridge Heights Community Center, Inc.",132813809,,"$28,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,"Mary Mitchell Youth and Family Center, Inc.",133385032,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,"Mosholu-Montefiore Community Center, Inc.",133622107,,"$28,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,Neighborhood Initiatives Development Corporation (NIDC),133110811,,"$31,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,Phipps Community Development Corporation,132707665,,"$28,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,South Bronx Overall Economic Development Corporation,132736022,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,Supportive Childrens Advocacy Network (SCAN),132912963,,"$28,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Bronx,Sauti Yetu,201209795,,"$25,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Staten Island,"American-Italian Coalition of Organizations, Inc. (AMICO)",112649513,,"$11,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Staten Island,"Jewish Community Center of Staten Island, Inc.",135562256,,"$79,167",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Staten Island,Staten Island Employment Education Consortium,133097367,,"$79,833",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Manhattan,"Chinese American Planning Council, Inc.",136202692,,"$26,850",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Manhattan,"Dominican Women's Development Center, Inc.",133593885,,"$42,100",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Manhattan,"Lenox Hill Neighborhood House, Inc.",131628180,,"$42,100",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Manhattan,"Little Sisters of the Assumption Family Health Service, Inc.",132867881,,$0,DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Manhattan,"Riverside Language Program, Inc.",133280364,,"$42,100",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,"Agudath Israel of America Community Services, Inc.",133975090,,"$20,400",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Arab American Association of NY,113604756,,"$10,400",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Brooklyn Adult Learning Center,112149962,,"$13,674",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Brooklyn Chinese American Association,113065859,,"$10,000",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Brooklyn Public Library,136400434,,"$16,753",BPL,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Church Avenue Merchants Block Association (CAMBA),112480339,,"$22,117",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Cypress Hills Local Development Corporation,112683663,,"$20,400",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Federation of Italian American Organizations of Brooklyn,112507910,,"$27,200",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,FEGS Health and Human Services System,131624000,,"$15,500",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Fifth Avenue Committee ,112475743,,"$27,237",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Haitian Centers Council,112648501,,"$10,200",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Kings Bay YM-YWHA,113068515,,"$16,320",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,Opportunities for a Better Tomorrow (OBT) ,112934620,,"$33,480",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,"SBH Community Service Network, Inc. (Sephardic Bikur Chomlim)",237406410,,"$6,800",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,United Chinese Association of Brooklyn,371469112,,"$6,800",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,United Community Centers,111950787,,"$16,320",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,United Jewish Organizations of Williamsburg,112728233,,"$16,320",DYCD,,,,,,,ESL Services,,
Immigrant Opportunities Initiative ,Brooklyn,YMCA of Greater New York – Flatbush,131624228,,"$5,080",DYCD,,,,,,,ESL Services,,
Local,CD19,Brooklyn Conservatory of Music,111532426,,"$1,500",DCLA,,58 7th Ave,,Brooklyn,NY,11217,"To support music instruction, music therapy and concerts throughout Brooklyn, Queens and Manhattan. Programming includes band, strings, chorus, recorder, world drumming and percussion, early childhood music and movement, and a weekly seniors’ chorale program.",,
Aging,CD19,"Vietnam Veterans of America, Inc. - Queens Chapter #32",112629339,,"$1,500",DFTA,,19-12 149 St,,Whitestone,NY,11357,"Utilizing VA approved service representatives, the Chapter assists all veterans in presenting Compensation and Pension claims before the VA. It advises educational benefits as well as referrals to other government agencies. Funding will provide veterans and their dependents with information about benefits; support of homeless veterans; Annual POW/MIA Ceremony; Indigent Veteran Burials; Dissemination of veterans information at community street fairs throughout the borough; Participation in Veterans Parades  Events.",,
Youth,CD19,Boy Scouts of America - Greater New York Council,131624015,,"$3,500",DYCD,,350 Fifth Avenue Suite 7820,,New York,NY,10118,"To carry out Scouting programs, including youth development and character-building Cub Scout and Boy Scout programs, to youth in Queens.",,
Local,Comrie,High School for Community Leadership (28Q328),136400434,,"$3,500",DOE,,,,,,,,,
Local,Viverito,Amigos del Museo del Barrio,237156720,,"$4,500",DCLA,,El Museo Del Barrio,1230 Fifth Avenue,New York,,10029,"To support collaborative programs with community-based organizations, an artist in residency program, and other museum programs.",,
Local,Oddo,"Staten Island Chamber of Commerce Foundation, Inc.",134069282,,"$20,000",DSBS,,130 Bay Street,,Staten Island,NY,10301-2503,Funding to support existing staff to help provide essential services to businesses impacted by Superstorm Sandy as they attempt to recover and rebuild.,,
